,Record,Field,Value,idx,Sigma,Rho,Predval,Split
251,80_90,Cu,34.44061252847314,251,27.06239375909142,0.866000277553185,33.32676825225893,0
36,70_70,Ag,19.17027074657381,36,-4.047557758051274,0.9248203823392248,27.778871152557656,0
80,86_90,Ag,42.41916677635163,80,11.989436966178115,0.9248203823392248,42.61021074499161,0
104,68_68,Au,9.24,104,-1.4283635900877574,0.865273524652663,8.451027402389121,0
369,67_79,Pd,-19.125536193605512,369,23.639014957206598,1.0028155701235077,-12.044953440952082,0
201,68_85,Cu,1.9980336450971663,201,-13.364708668309698,0.866000277553185,-1.6831136705414824,0
73,85_88,Ag,17.007134437095374,73,-15.567369481182402,0.9248203823392248,17.125114470295642,0
6,67_80,Ag,46.62705653999001,6,12.559276436957258,0.9248203823392248,43.13720990222956,0
274,67_68,Ni,-50.58627260895446,274,0.08094040333023185,1.0099341257241425,-54.43304733489679,0
123,69_87,Au,-2.59744197037071,123,-12.39452401305415,0.865273524652663,-1.0377008786975477,0
53,71_89,Ag,34.62542978255078,53,3.8299773798924823,0.9248203823392248,35.06417621072148,0
161,85_85,Au,-8.378866176586598,161,-16.50895674792382,0.865273524652663,-4.597810593144521,0
11,67_89,Ag,27.860594626516104,11,-6.69724730164903,0.9248203823392248,25.328384255767332,0
459,67_71,Pt,-26.67534745065496,459,14.607073904170857,0.9803840800868737,-30.060929092081253,0
389,69_69,Pd,-40.22,389,-9.298282970455078,1.0028155701235077,-45.074988640607955,0
433,80_90,Pd,-9.829814025200903,433,27.06239375909142,1.0028155701235077,-8.611935875991222,0
320,71_79,Ni,-23.16123738978058,320,32.113163016549805,1.0099341257241425,-22.082612595013778,0
256,85_89,Cu,-5.6442377474159,256,-13.331688886817032,0.866000277553185,-1.6545185306040882,0
427,80_80,Pd,-24.204210069496185,427,25.229624965000102,1.0028155701235077,-10.44986495914248,0
103,67_90,Au,26.90081274230033,103,17.56130478839421,0.865273524652663,24.882284692223436,0
92,67_68,Au,30.39,92,0.08094040333023185,0.865273524652663,9.756988188546245,0
485,69_85,Pt,-56.70711389230564,485,-14.877843402631413,0.9803840800868737,-58.96747262234814,0
339,80_87,Ni,-43.616392977535725,339,-1.379120667927415,1.0099341257241425,-55.90761283640124,0
388,68_90,Pd,-17.361104905605316,388,12.979444841100664,1.0028155701235077,-22.73453632420636,0
415,71_87,Pd,-24.13869634317234,415,3.9786174626637334,1.0028155701235077,-31.760706163296867,0
537,87_88,Pt,-63.3696579253301,537,-17.260680397476683,0.9803840800868737,-61.30356807753649,0
57,79_85,Ag,43.548978068400174,57,8.580392269715853,0.9248203823392248,39.457456725397876,0
347,85_89,Ni,-73.86210453743115,347,-13.331688886817032,1.0099341257241425,-67.9789193707037,0
170,86_89,Au,-6.265348290093243,170,-15.133051229840628,0.865273524652663,-3.40727597592363,0
378,68_69,Pd,-40.16,378,-4.847701169694547,1.0028155701235077,-40.611875914696974,0
512,79_85,Pt,-35.89509880449623,512,8.580392269715853,0.9803840800868737,-35.969391822252874,0
310,70_71,Ni,-30.7189448219724,310,9.554318445125839,1.0099341257241425,-44.86555956460166,0
14,68_69,Ag,27.82055524457246,14,-4.847701169694547,0.9248203823392248,27.03888221667551,0
436,85_87,Pd,-48.38246509805322,436,-12.156279927762634,1.0028155701235077,-47.94103248876158,0
248,80_87,Cu,13.812954151071608,248,-1.379120667927415,0.866000277553185,8.696408864427697,0
222,70_85,Cu,-4.020201354287565,222,-14.085231413040521,0.866000277553185,-2.3070865674617576,0
318,70_90,Ni,-39.60187565954402,318,12.277384850414283,1.0099341257241425,-42.11544187528789,0
68,80_89,Ag,37.95157305337489,68,3.949991341046588,0.9248203823392248,35.17516756816207,0
48,71_80,Ag,53.21135051129386,48,26.248701567905744,0.9248203823392248,55.79746928583753,0
162,85_86,Au,-8.004172896966338,162,-18.41347982414411,0.865273524652663,-6.2457439880879875,0
502,71_79,Pt,-8.320125427097082,502,32.113163016549805,0.9803840800868737,-12.898238021722783,0
532,86_87,Pt,-58.35749530047178,532,-17.39608464766263,0.9803840800868737,-61.436316248794896,0
158,80_88,Au,16.91410689940676,158,4.270556535490156,0.865273524652663,13.38215210616192,0
243,79_89,Cu,21.2624005000107,243,13.713681170235168,0.866000277553185,21.766779445331714,0
10,67_88,Ag,28.342907790560275,10,-4.288212072595508,0.9248203823392248,27.556309137369272,0
372,67_86,Pd,-50.4846238847822,372,-10.731716263819216,1.0028155701235077,-46.51245786592693,0
207,69_69,Cu,2.5352122164331377,207,-9.298282970455078,0.866000277553185,1.8384121124500226,0
281,67_86,Ni,-63.63849149737507,281,-10.731716263819216,1.0099341257241425,-65.35311829278969,0
218,70_70,Cu,-0.23,218,-4.047557758051274,0.866000277553185,6.385541603747223,0
119,69_79,Au,24.95865641254932,119,16.81008709940215,0.865273524652663,24.232275914687847,0
147,79_80,Au,42.51621046755463,147,33.414087777780196,0.865273524652663,38.59927810500322,0
455,67_67,Pt,-46.51780850999057,455,6.711574738944217,0.9803840800868737,-37.801550778008654,0
135,70_89,Au,-0.699555654078722,135,-15.185341940087506,0.865273524652663,-3.452521743085537,0
343,85_85,Ni,-70.2406987096183,343,-16.50895674792382,1.0099341257241425,-71.18775061020199,0
309,70_70,Ni,-57.77094103768468,309,-4.047557758051274,1.0099341257241425,-58.60255851606536,0
515,79_88,Pt,-32.040189852472395,515,13.52348642468676,0.9803840800868737,-31.123261006348923,0
183,67_68,Cu,15.360412316396832,183,0.08094040333023185,0.866000277553185,9.96082215738142,0
140,71_85,Au,5.130487157963216,140,2.2065667448958863,0.865273524652663,11.596236385207304,0
190,67_86,Cu,-0.1156847844831645,190,-10.731716263819216,0.866000277553185,0.5970584825427032,0
157,80_87,Au,14.44033302180469,157,-1.379120667927415,0.865273524652663,8.493635999210998,0
538,87_89,Pt,-53.33555745240301,538,-14.474011345913611,0.9803840800868737,-58.57156210291326,0
182,67_67,Cu,16.257547896821052,182,6.711574738944217,0.866000277553185,15.70295333237681,0
72,85_87,Ag,16.53759171674028,72,-12.156279927762634,0.9248203823392248,20.279759615282646,0
122,69_86,Au,-4.99836387578398,122,-13.582942965422644,0.865273524652663,-2.066008334377459,0
393,69_80,Pd,-33.25921471789479,393,7.159935822566672,1.0028155701235077,-28.570430578466418,0
268,88_89,Cu,1.4583718576468527,268,-14.587099397352807,0.866000277553185,-2.741704381171255,0
445,87_87,Pd,-52.39341831579805,445,-15.553882680542012,1.0028155701235077,-51.34820143034323,0
304,69_86,Ni,-72.64862640202045,304,-13.582942965422644,1.0099341257241425,-68.23266943891488,0
195,68_68,Cu,17.53,195,-1.4283635900877574,0.866000277553185,8.653764480169311,0
323,71_86,Ni,-53.29816251806915,323,1.7288066741438548,1.0099341257241425,-52.76881095337234,0
449,88_88,Pd,-53.12323882756755,449,-18.574145125505716,1.0028155701235077,-54.376967636012125,0
511,79_80,Pt,-18.200606401078403,511,33.414087777780196,0.9803840800868737,-11.62283209642169,0
374,67_88,Pd,-43.24260362330824,374,-4.288212072595508,1.0028155701235077,-40.050811536811715,0
258,86_86,Cu,-5.473356258124113,258,-18.22372488451906,0.866000277553185,-5.891023062414218,0
143,71_88,Au,12.196461893152446,143,8.611643493286412,0.865273524652663,17.138379718957992,0
40,70_85,Ag,9.827979195397347,40,-14.085231413040521,0.9248203823392248,18.495825965154136,0
74,85_89,Ag,20.80835834564641,74,-13.331688886817032,0.9248203823392248,19.19271745236501,0
308,69_90,Ni,-43.89907428948209,308,16.83474449323305,1.0099341257241425,-37.512808848807225,0
87,88_90,Ag,42.56545445416123,87,10.775865271659107,0.9248203823392248,41.48787490647048,0
97,67_80,Au,32.89122504228726,97,12.559276436957258,0.865273524652663,20.55416199016303,0
417,71_89,Pd,-23.865470356773585,417,3.8299773798924823,1.0028155701235077,-31.909764752644325,0
217,69_90,Cu,19.30277772294357,217,16.83474449323305,0.866000277553185,24.469621149308946,0
42,70_87,Ag,10.72294346243143,42,-15.650731678825789,0.9248203823392248,17.048019410798446,0
280,67_85,Ni,-63.38964809384197,280,-9.316697464168648,1.0099341257241425,-63.92404251848137,0
263,87_87,Cu,-9.251680368557572,263,-15.553882680542012,0.866000277553185,-3.5789389727468865,0
237,79_79,Cu,47.05385993607342,237,43.778833564518294,0.866000277553185,47.803209763459705,0
439,85_90,Pd,-23.58189831022173,439,8.460027525962342,1.0028155701235077,-27.266678375712846,0
221,70_80,Cu,16.96915361471474,221,10.312330556856086,0.866000277553185,18.821208870089734,0
341,80_89,Ni,-51.05179665517062,341,3.949991341046588,1.0099341257241425,-50.525560758732055,0
83,87_89,Ag,16.865318422205746,83,-14.474011345913611,0.9248203823392248,18.136274358988626,0
408,70_89,Pd,-46.72409967007116,408,-15.185341940087506,1.0028155701235077,-50.97862303759061,0
27,69_71,Ag,33.71256923582405,27,9.318687263052261,0.99389739986633,40.54099768893004,1
364,67_67,Pd,-39.298421007581055,364,2.0433678653487592,1.018322395417014,-34.20946768368702,1
115,68_90,Au,21.48009903077036,115,15.021413155290599,0.942379722972725,23.66134521042955,1
210,69_79,Cu,23.98448588978499,210,16.602756405135715,0.920783090186253,25.1857458861331,1
198,68_71,Cu,19.14,198,15.452155388042474,0.920783090186253,24.126291926042537,1
407,70_88,Pd,-44.17104385234416,407,-10.401855736533454,1.018322395417014,-46.88271759345608,1
437,85_88,Pd,-50.5683961827308,437,-15.084932975220923,1.018322395417014,-51.6516000250792,1
376,67_90,Pd,-18.08636014023796,376,15.836262823115344,1.018322395417014,-20.1638538505589,1
169,86_88,Au,-7.38945474429056,169,-16.221248487662532,0.942379722972725,-5.781105613587204,1
435,85_86,Pd,-54.69140805117786,435,-17.822286609718333,1.018322395417014,-54.43910853526407,1
544,89_90,Pt,-29.75809232611209,544,10.844701748863324,0.9856228749908427,-33.85088523085975,1
311,70_79,Ni,-40.982781876809895,311,12.198322085775633,1.0309413532011404,-41.81352827831489,1
31,69_86,Ag,19.204587053041905,31,-14.681189587762518,0.99389739986633,16.687582489793108,1
488,69_88,Pt,-54.20965102314949,488,-9.785381083917029,0.9856228749908427,-54.18436678380395,1
265,87_89,Cu,-5.44991055643186,265,-11.871399347604324,0.920783090186253,-1.0327752383195499,1
266,87_90,Cu,18.14790674392134,266,17.734574781405843,0.920783090186253,26.227905108164695,1
528,85_88,Pt,-61.54241014784202,528,-15.084932975220923,0.9856228749908427,-59.407726355074054,1
326,71_89,Ni,-54.161679996643215,326,5.0210624313354595,1.0309413532011404,-49.21286205873939,1
302,69_80,Ni,-50.14526291610673,302,6.787537815072191,1.0309413532011404,-47.39172953623334,1
273,67_67,Ni,-46.84443549113348,273,2.0433678653487592,1.0309413532011404,-52.282690524017404,1
406,70_87,Pd,-49.092698198743165,406,-17.3408306198433,1.018322395417014,-53.948831118366655,1
262,86_90,Cu,17.71125436015427,262,13.82784654144935,0.920783090186253,22.63065580685965,1
325,71_88,Ni,-49.72104590246454,325,7.512780235965508,1.0309413532011404,-46.64404713343872,1
229,71_79,Cu,39.5718359798193,229,34.074915130408606,0.920783090186253,41.27381418941457,1
386,68_88,Pd,-42.57589189056307,386,-7.102803482256701,1.018322395417014,-43.52321879927508,1
79,86_89,Ag,18.5474892850034,79,-14.619093775131883,0.99389739986633,16.74929935650928,1
508,71_89,Pt,-35.08143833698705,508,5.0210624313354595,0.9856228749908427,-39.59079735791128,1
348,85_90,Ni,-43.01896668504924,348,9.513172242358685,1.0309413532011404,-44.58176029143499,1
75,85_90,Ag,38.83568338723853,75,9.513172242358685,0.99389739986633,40.73429580417575,1
128,70_71,Au,16.261617169715464,128,11.324360508317227,0.942379722972725,20.177317761159202,1
118,69_71,Au,15.348753788508477,118,9.318687263052261,0.942379722972725,18.287211963912597,1
400,70_70,Pd,-43.61,400,-7.120387800743505,1.018322395417014,-43.54112530459833,1
291,68_80,Ni,-40.67592066293582,291,12.003003419497528,1.0309413532011404,-42.014890368433086,1
480,69_69,Pt,-47.3606564598158,480,-8.910537489276246,0.9856228749908427,-53.32210092488678,1
84,87_90,Ag,41.30678676813841,84,17.734574781405843,0.99389739986633,48.90552641098917,1
317,70_89,Ni,-72.21169450832531,317,-11.439632916785639,1.0309413532011404,-66.18287359556308,1
130,70_80,Au,20.984080309979618,130,10.43964802804511,0.942379722972725,19.34358265908985,1
391,69_71,Pd,-18.11,391,9.318687263052261,1.018322395417014,-26.800847007193724,1
492,70_71,Pt,-27.8216,492,11.324360508317227,0.9856228749908427,-33.37812258535226,1
102,67_89,Au,8.445434756111354,102,-6.673131382907885,0.942379722972725,3.2168463385026165,1
101,67_88,Au,10.66745530627668,101,-4.953167806999901,0.942379722972725,4.8377051366899595,1
252,85_85,Cu,-4.117132057435811,252,-16.474139671352738,0.920783090186253,-5.270900696945489,1
91,67_67,Au,27.25453276745975,91,2.0433678653487592,0.942379722972725,11.431098485366679,1
271,89_90,Cu,23.472304437309504,271,10.844701748863324,0.920783090186253,19.88382652626926,1
120,69_80,Au,20.91196409938857,120,6.787537815072191,0.942379722972725,15.901908048322571,1
501,71_71,Pt,-18.23,501,17.743956074357392,0.9856228749908427,-27.050822347273282,1
519,80_85,Pt,-51.11018208460882,519,1.267563795553953,0.9856228749908427,-43.29033147458445,1
94,67_70,Au,9.214684322476389,94,-8.008921752284232,0.942379722972725,1.9580245802601004,1
133,70_87,Au,-4.515758619643748,133,-17.3408306198433,0.942379722972725,-6.836177113156928,1
423,79_87,Pd,-24.174864227417856,423,12.470102477524964,1.018322395417014,-23.59169031703826,1
171,86_90,Au,16.552497228607535,171,13.82784654144935,0.942379722972725,22.53655223552834,1
533,86_88,Pt,-63.86904021864757,533,-16.221248487662532,0.9856228749908427,-60.52770491734344,1
117,69_70,Au,2.8179199500009418,117,-6.672320774653168,0.942379722972725,3.2176102392851362,1
15,68_70,Ag,27.39,15,-5.031347148456155,0.99389739986633,26.278535799339462,1
299,69_70,Ni,-68.44866472948343,299,-6.672320774653168,1.0309413532011404,-61.268054364620795,1
414,71_86,Pd,-29.63731676526368,414,-0.02346537603126997,1.018322395417014,-36.314170260976645,1
154,80_80,Au,39.06559343077242,154,22.181887748985893,0.942379722972725,30.409231274389356,1
51,71_87,Ag,34.58771999832243,51,8.373314784643917,0.99389739986633,39.60139444073479,1
214,69_87,Cu,-2.395690959412605,214,-11.290031261260252,0.920783090186253,-0.49746133523998637,1
106,68_70,Au,5.409511784557253,106,-5.031347148456155,0.942379722972725,4.764030510546225,1
259,86_87,Cu,-7.048372107557952,259,-15.0173529511693,0.920783090186253,-3.9295161189926873,1
149,79_86,Au,14.696491044480354,149,8.299131561369133,0.942379722972725,17.32640334420519,1
125,69_89,Au,1.7624346716329455,125,-9.487525901930496,0.942379722972725,0.5646180113301327,1
473,68_80,Pt,-41.847058464773,473,12.003003419497528,0.9856228749908427,-32.709236608142575,1
358,88_88,Ni,-76.32339524989948,358,-15.769670384591478,1.0309413532011404,-70.64688828203447,1
477,68_88,Pt,-55.86314671672881,477,-7.102803482256701,0.9856228749908427,-51.54035693566946,1
509,71_90,Pt,-12.686113650444897,509,22.71757566319284,0.9856228749908427,-22.148709109014515,1
142,71_87,Au,9.944790878333151,142,8.373314784643917,0.942379722972725,17.396312109604104,1
404,70_85,Pd,-51.23281342536211,404,-15.519709491004269,1.018322395417014,-52.094342688102756,1
513,79_86,Pt,-35.97805349435657,513,8.299131561369133,0.9856228749908427,-36.359857437548754,1
177,88_89,Au,-1.1208485853858292,177,-13.393356260489103,0.942379722972725,-3.1161573199467867,1
230,71_80,Cu,33.23251627199352,230,23.21769839321487,0.920783090186253,31.27667261131942,1
529,85_89,Pt,-59.95276362309232,529,-14.952023047503744,0.9856228749908427,-59.276727290002626,1
536,87_87,Pt,-59.773194232955575,536,-16.094086050830057,0.9856228749908427,-60.40237071076178,1
236,71_90,Cu,30.812252930831164,236,22.71757566319284,0.920783090186253,30.816168058497347,1
187,67_79,Cu,31.609550232533365,187,23.30283920796821,0.920783090186253,31.355068833828973,1
253,85_86,Cu,-3.81177783664316,253,-17.822286609718333,0.920783090186253,-6.512251600878898,1
39,70_80,Ag,35.02580372430384,39,10.43964802804511,0.99389739986633,41.655117678608605,1
283,67_88,Ni,-58.60078528011218,283,-4.953167806999901,1.0309413532011404,-59.49570847778858,1
321,71_80,Ni,-25.958140193019062,321,23.21769839321487,1.0309413532011404,-30.453197556490895,1
202,68_86,Cu,0.1466519981622696,202,-13.157370254741886,0.920783090186253,-2.216875504083294,1
454,90_90,Pd,6.602765343151987,454,34.426099063787106,1.018322395417014,-1.2334072795480182,1
260,86_88,Cu,-3.47226674342528,260,-16.221248487662532,0.920783090186253,-5.038042771346362,1
461,67_80,Pt,-40.5688067455776,461,15.551006793897411,0.9856228749908427,-29.212243321789348,1
338,80_86,Ni,-52.8223173446022,338,-2.2261436680436444,1.0309413532011404,-56.684306521760845,1
0,67_67,Ag,37.29112578323111,0,2.0433678653487592,0.99389739986633,33.310076656355456,1
99,67_86,Au,1.0825114590115843,99,-11.12396441470354,0.942379722972725,-0.9775284609988262,1
132,70_86,Au,-4.556430337950587,132,-11.482970094141805,0.942379722972725,-1.3158481337334944,1
425,79_89,Pd,-24.198930953163654,425,12.132865521358955,1.018322395417014,-23.935106262064373,1
453,89_90,Pd,-19.151846054010093,453,10.844701748863324,1.018322395417014,-25.24687228056154,1
107,68_71,Au,17.56,107,15.452155388042474,0.942379722972725,24.067267956402915,1
486,69_86,Pt,-57.10907530784607,486,-15.405581899314473,0.9828304997552761,-60.08879132406955,2
383,68_85,Pd,-46.59319026116282,383,-12.647053332144576,0.9902671826887711,-48.395337738332,2
482,69_71,Pt,-28.7307,482,7.554923553991884,0.9828304997552761,-37.52250627476272,2
90,90_90,Ag,64.48857270507142,90,40.634010912428465,0.9517327576521684,69.52262114548438,2
45,70_90,Ag,37.86220624204725,45,14.010416079808305,0.9517327576521684,44.18407381682077,2
47,71_79,Ag,62.53579881694168,47,34.29216724872821,0.9517327576521684,63.486880786832,2
441,86_87,Pd,-53.76357068819925,441,-14.316929788512601,0.9902671826887711,-50.04896159221788,2
471,68_71,Pt,-29.11,471,11.862416195222817,0.9828304997552761,-33.288971129489546,2
516,79_89,Pt,-30.431728221010417,516,12.000139209337297,0.9828304997552761,-33.15361275069961,2
2,67_69,Ag,31.856922125443816,2,-5.892520756697582,0.9517327576521684,25.2417968560361,2
153,79_90,Au,40.90061547001824,153,37.619689213971775,0.9168758235081825,44.51829498501226,2
540,88_88,Pt,-66.66650954959914,540,-16.797847246836696,0.9828304997552761,-61.45715217136677,2
191,67_87,Cu,6.241317079402506,191,-2.8265604713450956,0.893085387131778,6.9774214646256025,2
479,68_90,Pt,-29.09790529776365,479,13.917102277138056,0.9828304997552761,-31.269562980760583,2
442,86_88,Pd,-53.23358160816133,442,-16.90131726473583,0.9902671826887711,-52.6081956972736,2
298,69_69,Ni,-73.01759858615696,298,-4.949979623036869,1.035087988723384,-59.46218605909421,2
23,68_89,Ag,33.08756782626733,23,-4.796495361733422,0.9517327576521684,26.284920127642145,2
247,80_86,Cu,12.44543402735144,247,-2.8837581927837177,0.893085387131778,6.926339015431536,2
63,80_80,Ag,56.512797337491065,63,21.900744091347573,0.9517327576521684,51.69355745402319,2
150,79_87,Au,18.931649807840586,150,14.133944476581743,0.9168758235081825,22.984783438214805,2
312,70_80,Ni,-34.6432788586244,312,7.163236074925583,1.035087988723384,-46.92394198531773,2
452,89_89,Pd,-51.40024135168642,452,-16.111050147943455,0.9902671826887711,-51.825620105956034,2
507,71_88,Pt,-35.4995974721387,507,6.538122360624177,0.9828304997552761,-38.52184949979206,2
458,67_70,Pt,-52.3953689225018,458,-7.227326723879453,0.9828304997552761,-52.050952702870575,2
487,69_87,Pt,-52.58636373607442,487,-13.08165386433138,0.9828304997552761,-57.804763972051816,2
505,71_86,Pt,-39.8534287889488,505,0.44290662172574324,0.9828304997552761,-44.512413430569836,2
421,79_85,Pd,-27.577578763477504,421,9.730234544713069,0.9902671826887711,-26.235843916300595,2
327,71_90,Ni,-33.5196948479861,327,24.961911138478364,1.035087988723384,-28.500747211843834,2
215,69_88,Cu,2.906333788763732,215,-7.831680982235561,0.893085387131778,2.5074214755157893,2
235,71_89,Cu,14.713972473982722,235,5.949904922419739,0.893085387131778,14.815554458464721,2
353,86_90,Ni,-40.555653519928455,353,10.715627615256455,1.035087988723384,-43.24690417067868,2
328,79_79,Ni,-14.054720301181078,328,40.806641654512916,1.035087988723384,-12.100056970137608,2
60,79_88,Ag,47.51803591102362,60,13.71601684422096,0.9517327576521684,43.90388442048454,2
506,71_87,Pt,-37.40635678265244,506,5.166403149234792,0.9828304997552761,-39.87001697784581,2
200,68_80,Cu,27.30784850614145,200,10.69376041802268,0.893085387131778,19.05222248025249,2
95,67_71,Au,19.53,95,16.91663361810816,0.9168758235081825,25.536163836419117,2
86,88_89,Ag,17.61300941836089,86,-13.112976663263742,0.9517327576521684,18.369852444574,2
167,86_86,Au,-9.616525482852012,167,-16.959096593081032,0.9168758235081825,-5.523674197905992,2
306,69_88,Ni,-70.32553554978222,306,-7.831680982235561,1.035087988723384,-62.44500052308862,2
28,69_79,Ag,49.99796449718997,28,15.105591497696174,0.9517327576521684,45.22638813740006,2
168,86_87,Au,-10.954436453990638,168,-14.316929788512601,0.9168758235081825,-3.101135333121329,2
110,68_85,Au,-3.649098140653223,110,-12.647053332144576,0.9168758235081825,-1.57006598203197,2
403,70_80,Pd,-31.69083543168381,403,7.163236074925583,0.9902671826887711,-28.777858258943432,2
491,70_70,Pt,-49.74475008621812,491,-7.662441923279286,0.9828304997552761,-52.47859719174783,2
12,67_90,Ag,47.37068056175485,12,17.431096754741766,0.9517327576521684,47.439647668622676,2
324,71_87,Ni,-48.262410026974976,324,5.166403149234792,1.035087988723384,-48.99083976218764,2
93,67_69,Au,15.89104028698057,93,-5.892520756697582,0.9168758235081825,4.6230016354938375,2
70,85_85,Ag,15.668177308980376,70,-16.79554938760308,0.9517327576521684,14.865027350383864,2
448,87_90,Pd,-18.912419323343784,448,13.691234908037364,0.9902671826887711,-22.313395245882244,2
294,68_87,Ni,-57.106361218728125,294,-7.733027585435755,1.035087988723384,-62.34288557701438,2
59,79_87,Ag,45.29564476665109,59,14.133944476581743,0.9517327576521684,44.301639838530306,2
337,80_85,Ni,-53.24839837756008,337,0.24135236952260808,1.035087988723384,-54.08870066812046,2
129,70_79,Au,22.225401173345745,129,14.875577959733196,0.9168758235081825,23.664769248820534,2
390,69_70,Pd,-40.63,390,-9.370825288028545,0.9902671826887711,-45.15099662323928,2
165,85_89,Au,-3.1637662202119827,165,-15.421426957057037,0.9168758235081825,-4.1138220840929645,2
522,80_88,Pt,-47.88475960539654,522,6.059844993142793,0.9828304997552761,-38.99191508389543,2
290,68_79,Ni,-35.67965475190431,290,19.989717520603442,1.035087988723384,-33.64740510331323,2
85,88_88,Ag,15.97607428766787,85,-16.797847246836696,0.9517327576521684,14.862840402478758,2
464,67_87,Pt,-48.76783475186676,464,-2.8265604713450956,0.9828304997552761,-47.725745407586075,2
245,80_80,Cu,41.17267286218703,245,21.900744091347573,0.893085387131778,29.061015832723363,2
399,69_90,Pd,-18.05026696017012,399,12.57172694199824,0.9902671826887711,-23.422007245409446,2
21,68_87,Ag,20.29042059509084,21,-7.733027585435755,0.9517327576521684,23.49012621644347,2
188,67_80,Cu,28.437413678970188,188,15.680071421235203,0.893085387131778,23.505423972915988,2
76,86_86,Ag,17.612324591726065,76,-16.959096593081032,0.9517327576521684,14.709374117508027,2
360,88_90,Ni,-44.67722895834595,360,10.556199546066505,1.035087988723384,-43.411926250162566,2
220,70_79,Cu,17.11281139124185,220,14.875577959733196,0.893085387131778,22.786942618405483,2
497,70_87,Pt,-57.12846698844805,497,-17.21107407561919,0.9828304997552761,-61.863284102011356,2
370,67_80,Pd,-32.050424492452294,370,15.680071421235203,0.9902671826887711,-20.343915715129263,2
440,86_86,Pd,-55.93869465775788,440,-16.959096593081032,0.9902671826887711,-52.66541266997165,2
293,68_86,Ni,-67.36927048582584,293,-12.30037779764185,1.035087988723384,-67.07049492196211,2
192,67_88,Cu,8.908845268189907,192,-3.6341696240991066,0.893085387131778,6.256157531787119,2
465,67_88,Pt,-54.071543062105775,465,-3.6341696240991066,0.9828304997552761,-48.51948831479424,2
392,69_79,Pd,-20.15273352060467,392,15.105591497696174,0.9902671826887711,-20.912804330523514,2
470,68_70,Pt,-43.82004383346066,470,-5.776335458202512,0.9828304997552761,-50.624874232084764,2
257,85_90,Cu,17.885662972927094,257,10.44301273277748,0.893085387131778,18.828283386702882,2
447,87_89,Pd,-49.91670233570039,447,-12.91702901279596,0.9902671826887711,-48.66268579500513,2
466,67_89,Pt,-49.20024720625952,466,-6.684878747672869,0.9828304997552761,-51.51781828732422,2
17,68_79,Ag,52.67349041812122,17,19.989717520603442,0.9517327576521684,49.874770865902306,2
363,90_90,Ni,-15.292232543230057,363,40.634010912428465,1.035087988723384,-12.278744977753625,2
344,85_86,Ni,-72.27110017230734,344,-17.052580718073425,1.035087988723384,-71.98944308487702,2
296,68_89,Ni,-68.39633246138692,296,-4.796495361733422,1.035087988723384,-59.303316343760926,2
148,79_85,Au,17.553155765403062,148,9.730234544713069,0.9168758235081825,18.94712826794155,2
139,71_80,Au,26.42566027631983,139,26.290288418355807,0.9168758235081825,34.13064130067761,2
82,87_88,Ag,13.902162061538547,82,-16.32442066620667,0.9517327576521684,15.31341598760761,2
65,80_86,Ag,33.05708291195333,65,-2.8837581927837177,0.9517327576521684,28.10533474811045,2
197,68_70,Cu,0.7,197,-5.776335458202512,0.893085387131778,4.343020528536412,2
111,68_86,Au,-4.5741487755440176,111,-12.30037779764185,0.9168758235081825,-1.2522075658446443,2
49,71_85,Ag,29.21638480341062,49,1.836766273238331,0.9517327576521684,32.59801251572215,2
272,90_90,Cu,38.08822151320055,272,40.634010912428465,0.893085387131778,45.79142268387128,2
255,85_88,Cu,-1.3817105772905052,255,-15.581192029555027,0.893085387131778,-4.413553598261506,2
